"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Name","Locker_Name","Locker Box Door","Locker Size","Address","Location","PopupInfo","Latitude","Longitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac","Status"
"POINT (-73.92355449999997 40.73937840000008)","4","Queens","402","26","37","12","7","44 St and 48 Ave","GoLocker-C&A Grocery","28","S","4806 46 St, Sunnyside NY 11377","Outdoor","GoLocker","40.7393784","-73.9235545","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","22","S","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96926879999995 40.580711360000066)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Ocean Pkwy","GoLocker-425 Neptune Ave","16","M","425 Neptune Ave, Brooklyn, NY 11224","Outdoor","GoLocker","40.58071136","-73.9692688","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.98083796999998 40.728865330000076)","1","Manhattan","103","2","74","27","10","E 12th St and Avenue A","GoLocker 508","40","S","508  East 12th St, Newyork, NY 10009","Indoor","GoLocker","40.72886533","-73.98083797","East Village","X","AREA OF MINIMAL FLOOD HAZARD","2","Active"
"POINT (-74.00179120999996 40.64257003000006)","3","Brooklyn","312","38","49","17","10","8 Ave and 47 St","GoLocker-BSK Grocery","14","S","4701 8 Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.64257003","-74.00179121","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00808176999993 40.64352783000004)","3","Brooklyn","307","43","49","17","10","6th Ave and 51st St","GoLocker- City Fresh Market","46","M","5009 6th Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.64352783","-74.00808177","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.03019782999996 40.62514951000003)","3","Brooklyn","310","47","46","26","11","3 Ave and 84 St","GoLocker- iFix- Bay Ridge","17","S","8319 3rd Ave,Brooklyn, NY 11209","Indoor","GoLocker","40.62514951","-74.03019783","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98278399999998 40.69107810000003)","3","Brooklyn","302","33","52","26","10","Albee Square W and Fulton St","City Point- 2","28","S","445 Albee Square W, Brooklyn, NY 11201","Indoor","GoLocker","40.6910781","-73.982784","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92177219999996 40.68985630000003)","3","Brooklyn","304","37","54","18","7","Bushwick Ave and Woodbine St","GoLocker-Bushwick Organic Deli 2","31","S","1104 Bushwick Ave, Brooklyn NY 11221","Outdoor","GoLocker","40.6898563","-73.9217722","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91127016999997 40.74472302000004)","4","Queens","402","26","37","12","6","53 St and Roosevelt Ave","GoLocker-Natures Vida","5","S","53-05 Roosevelt Ave, Woodside NY 11377","Outdoor","GoLocker","40.74472302","-73.91127017","Woodside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95792197999998 40.676043950000064)","3","Brooklyn","308","35","57","25","9","St Marks Av and Classon Av","GoLocker- St. Marks","19","S","500 St Marks Ave, Brooklyn, NY 11238","Outdoor","GoLocker","40.67604395","-73.95792198","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97058867999993 40.58119965000003)","3","Brooklyn","313","48","46","23","8","W 5 St and Mitchell Wesson Pl","GoLocker-2882 W 5th Street","22","S","2775 W 5th St, Brooklyn, NY 11224","Outdoor","GoLocker","40.58119965","-73.97058868","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.91255056999995 40.76318052000005)","4","Queens","401","22","34","12","14","30th Av and 43rd St","GoLocker- KeyFood Woodside","37","S","42-15 30th Ave., Astoria, NY 11103","Outdoor","GoLocker","40.76318052","-73.91255057","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96297758999998 40.60673456000006)","3","Brooklyn","315","44","45","22","9","10 St and Kings Hwy","GoLocker-Kings Flaming Grill","3","S","924 Kings Hwy, Brooklyn NY 11223","Outdoor","GoLocker","40.60673456","-73.96297759","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.93322079999996 40.67225840000003)","3","Brooklyn","308","36","43","20","9","Utica Ave and Park Pl","GoLocker-Happy Land Deli","7","M","189 Utica Ave, Brooklyn NY 11213","Outdoor","GoLocker","40.6722584","-73.9332208","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.93811599999998 40.68425428000006)","3","Brooklyn","303","36","56","25","8","Lafayette Av and Hancock St","Natty Garden 2","1","L","383 Marcus Garvey Blvd, Brooklyn, NY 11221","Indoor","GoLocker","40.68425428","-73.938116","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00298533999995 40.61740751000008)","3","Brooklyn","311","38","49","17","11","15 Ave and Bay Ridge Pkwy","GoLocker-15th Ave Deli","35","L","7501 15 Ave, Brooklyn NY 11228","Outdoor","GoLocker","40.61740751","-74.00298534","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.94364299999995 40.83671675000005)","1","Manhattan","112","7","71","31","13","W 161st St and Broadway","GoLocker W 161 Street","23","S","600 W 161st St, New York, NY 10032","Outdoor","GoLocker","40.83671675","-73.943643","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94052126999998 40.71759430000003)","3","Brooklyn","301","34","53","18","7","Kingsland Ave and Withers Ave","GoLocker-Fantasy Deli Grocery","16","M","49 Kingsland Ave, Brooklyn NY 11211","Outdoor","GoLocker","40.7175943","-73.94052127","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.88959806999998 40.74910896000006)","4","Queens","403","25","39","13","6","37th Av and 77th St","GoLocker- Foodtown Jackson Heights","56","M","76-10 37th Ave, Jackson Heights, NY 11372","Outdoor","GoLocker","40.74910896","-73.88959807","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91777999999994 40.71121000000005)","4","Queens","405","34","37","12","7","Troutman St and Woodward Av","Sherman Parking","8","S","1870 Troutman Street,Ridgewood,NY 11385","Indoor","GoLocker","40.71121","-73.91778","Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91711681999993 40.769683360000045)","4","Queens","401","22","36","59","14","Astoria Blvd and 33 St","GoLocker-Astoria Beer and Market","3","S","32-14 Astoria Blvd, Astoria NY 11102","Outdoor","GoLocker","40.76968336","-73.91711682","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02722269999998 40.63609300000007)","3","Brooklyn","310","47","64","26","11","Bay Ridge Ave and 3 Ave","GoLocker- Superfresh- Bay Ridge","22","S","242 Bay Ridge Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.636093","-74.0272227","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96926879999995 40.580711360000066)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Ocean Pkwy","GoLocker-425 Neptune Ave","5","S","425 Neptune Ave, Brooklyn, NY 11224","Outdoor","GoLocker","40.58071136","-73.9692688","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.95317831999995 40.57943116000007)","3","Brooklyn","315","48","45","23","8","Ocean View Ave and West End Ave","GoLocker-Bottega Good Flowers","8","S","97 West End Ave, Brooklyn NY 11235","Outdoor","GoLocker","40.57943116","-73.95317832","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","AE",,"1","Active"
"POINT (-73.91777999999994 40.71121000000005)","4","Queens","405","34","37","12","7","Troutman St and Woodward Av","Sherman Parking","33","S","1870 Troutman Street,Ridgewood,NY 11385","Indoor","GoLocker","40.71121","-73.91778","Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95934939999995 40.691084240000066)","3","Brooklyn","303","33","57","25","7","Taaffe Pl and DeKalb Av","GoLocker- Taaffe Pl","21","S","241 Taaffe Pl, Brooklyn, NY 11205","Outdoor","GoLocker","40.69108424","-73.9593494","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00808176999993 40.64352783000004)","3","Brooklyn","307","43","49","17","10","6th Ave and 51st St","GoLocker- City Fresh Market","1","M","5009 6th Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.64352783","-74.00808177","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.93811599999998 40.68425428000006)","3","Brooklyn","303","36","56","25","8","Lafayette Av and Hancock St","Natty Garden 2","5","M","383 Marcus Garvey Blvd, Brooklyn, NY 11221","Indoor","GoLocker","40.68425428","-73.938116","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92680969999998 40.69464010000007)","3","Brooklyn","304","34","53","18","7","Evergreen Ave and Harmon St","GoLocker-GM Bani Grocery Deli Grill","24","L","311 Evergreen Ave, Brooklyn NY 11221","Outdoor","GoLocker","40.6946401","-73.9268097","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91255056999995 40.76318052000005)","4","Queens","401","22","34","12","14","30th Av and 43rd St","GoLocker- KeyFood Woodside","30","S","42-15 30th Ave., Astoria, NY 11103","Outdoor","GoLocker","40.76318052","-73.91255057","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95934939999995 40.691084240000066)","3","Brooklyn","303","33","57","25","7","Taaffe Pl and DeKalb Av","GoLocker- Taaffe Pl","3","M","241 Taaffe Pl, Brooklyn, NY 11205","Outdoor","GoLocker","40.69108424","-73.9593494","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97190856999998 40.58029175000007)","3","Brooklyn","313","47","46","23","8","W 5 St and Neptune Ave","GoLocker- 2882 W 5th Street","25","M","2882 W 5th St, Brooklyn, NY 11224","Outdoor","GoLocker","40.58029175","-73.97190857","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.97825039999998 40.63126100000005)","3","Brooklyn","312","44","48","22","9","18 Ave and Seton Pl","GoLocker-Infinity Wireless","12","S","4219 18th Avenue, Brooklyn, NY 11218","Indoor","GoLocker","40.631261","-73.9782504","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02722269999998 40.63609300000007)","3","Brooklyn","310","47","64","26","11","Bay Ridge Ave and 3 Ave","GoLocker- Superfresh- Bay Ridge","4","L","242 Bay Ridge Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.636093","-74.0272227","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.89212999999995 40.75991000000005)","4","Queens","403","25","34","13","14","31 Ave and 77 St","Farm Country Supermarket","24","L","75-55 31st Ave,East Elmhurst, NY 11370","Indoor","GoLocker","40.75991","-73.89213","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.92314804999995 40.701279670000076)","3","Brooklyn","304","37","53","18","7","Knickerbocker Ave and Hart St","GoLocker-Laundry Station","18","S","334 Knickerbocker Ave, Brooklyn NY 11237","Indoor","GoLocker","40.70127967","-73.92314805","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.02484515999998 40.62449916000003)","3","Brooklyn","310","47","46","26","11","5 Ave and 82 St","GoLocker-82nd Deli and Grocery","3","S","8126 5 Ave, Brooklyn NY 11209","Outdoor","GoLocker","40.62449916","-74.02484516","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98421959999996 40.61169932000007)","3","Brooklyn","311","43","47","17","11","Bay Pkwy and Bay Ridge Ave","GoLocker- Repairs Bay","4","L","6908 Bay Pkwy, Brooklyn, NY 11204","Indoor","GoLocker","40.61169932","-73.9842196","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.98421959999996 40.61169932000007)","3","Brooklyn","311","43","47","17","11","Bay Pkwy and Bay Ridge Ave","GoLocker- Repairs Bay","23","S","6908 Bay Pkwy, Brooklyn, NY 11204","Indoor","GoLocker","40.61169932","-73.9842196","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.96279774999994 40.64171275000007)","3","Brooklyn","314","40","42","21","9","E 17 St and Cortelyou Rd","GoLocker-Cortelyou Gourmet Deli","12","M","1626 Cortelyou Rd, Brooklyn 11226","Outdoor","GoLocker","40.64171275","-73.96279775","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96279774999994 40.64171275000007)","3","Brooklyn","314","40","42","21","9","E 17 St and Cortelyou Rd","GoLocker-Cortelyou Gourmet Deli","27","S","1626 Cortelyou Rd, Brooklyn 11226","Outdoor","GoLocker","40.64171275","-73.96279775","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94671799999998 40.62668006000007)","3","Brooklyn","318","45","42","21","9","Avenue J and Nostrand Ave","GoLocker-New Stanleys Grocery","23","S","2377 Nostrand Ave, Brooklyn NY 11210","Outdoor","GoLocker","40.62668006","-73.946718","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.99953132999997 40.61348774000004)","3","Brooklyn","311","43","49","17","11","17 Ave and 77 St","GoLocker-The Time Deli","22","S","7701 17 Ave, Brooklyn NY 11214","Outdoor","GoLocker","40.61348774","-73.99953133","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.88959806999998 40.74910896000006)","4","Queens","403","25","39","13","6","37th Av and 77th St","GoLocker- Foodtown Jackson Heights","36","M","76-10 37th Ave, Jackson Heights, NY 11372","Outdoor","GoLocker","40.74910896","-73.88959807","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96987256999995 40.643639800000074)","3","Brooklyn","314","39","44","21","9","Coney Island Ave and Beverly Rd","GoLocker-Deli and Grill Corner Town","14","S","563 Coney Island Ave, Brooklyn NY 11218","Outdoor","GoLocker","40.6436398","-73.96987257","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91612262999996 40.74076491000005)","4","Queens","402","26","37","12","7","49th St and 47th Av","Cosmopolitan Houses- Sunnyside","35","M","47-01 49th Street,Queens, NY 11377","Outdoor","GoLocker","40.74076491","-73.91612263","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96987256999995 40.643639800000074)","3","Brooklyn","314","39","44","21","9","Coney Island Ave and Beverly Rd","GoLocker-Deli and Grill Corner Town","15","L","563 Coney Island Ave, Brooklyn NY 11218","Outdoor","GoLocker","40.6436398","-73.96987257","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00619684999998 40.60410735000005)","3","Brooklyn","311","38","47","17","11","18 Ave and Bath Ave","GoLocker-MGM Deli and Grocery","9","S","1769 Bath Ave, Brooklyn 11214","Outdoor","GoLocker","40.60410735","-74.00619685","Bath Beach","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-74.01956969999998 40.62192422000004)","3","Brooklyn","310","38","46","26","11","7 Ave and 81 St","GoLocker-Brooklyn Finest Mini Market","3","S","8101 7 Ave, Brooklyn NY 11228","Outdoor","GoLocker","40.62192422","-74.0195697","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01956969999998 40.62192422000004)","3","Brooklyn","310","38","46","26","11","7 Ave and 81 St","GoLocker-Brooklyn Finest Mini Market","26","S","8101 7 Ave, Brooklyn NY 11228","Outdoor","GoLocker","40.62192422","-74.0195697","Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95934939999995 40.691084240000066)","3","Brooklyn","303","33","57","25","7","Taaffe Pl and DeKalb Av","GoLocker- Taaffe Pl","55","M","241 Taaffe Pl, Brooklyn, NY 11205","Outdoor","GoLocker","40.69108424","-73.9593494","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95914889999995 40.71242358000006)","3","Brooklyn","301","34","53","59","7","Roebling St and S 2 St","GoLocker-B&G Hardware","27","S","210 Roebling St, Brooklyn NY 11211","Outdoor","GoLocker","40.71242358","-73.9591489","Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97058867999993 40.58119965000003)","3","Brooklyn","313","48","46","23","8","W 5 St and Mitchell Wesson Pl","GoLocker-2775 W 5th Street","25","M","2775 W 5th St, Brooklyn, NY 11224","Outdoor","GoLocker","40.58119965","-73.97058868","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.97825039999998 40.63126100000005)","3","Brooklyn","312","44","48","22","9","18 Ave and Seton Pl","GoLocker-Infinity Wireless","21","S","4219 18th Avenue, Brooklyn, NY 11218","Indoor","GoLocker","40.631261","-73.9782504","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95317831999995 40.57943116000007)","3","Brooklyn","315","48","45","23","8","Ocean View Ave and West End Ave","GoLocker-Bottega Good Flowers","23","S","97 West End Ave, Brooklyn NY 11235","Outdoor","GoLocker","40.57943116","-73.95317832","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","AE",,"1","Active"
"POINT (-73.93933828999997 40.69122557000003)","3","Brooklyn","303","36","56","25","8","Lafayette Av and Marcus Garvey Blvd","Ideal Food Basket- Lafayette Ave","34","L","830 Lafayette Ave, Brooklyn, NY 11221","Outdoor","GoLocker","40.69122557","-73.93933829","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97260284399994 40.58039856000005)","3","Brooklyn","313","47","46","23","8","W 5 St and Neptune Ave","GoLocker-505 Neptune Ave","19","S","505 Neptune Ave, Brooklyn, NY 11224","Outdoor","GoLocker","40.58039856","-73.9726028442","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.97490182999996 40.578603550000025)","3","Brooklyn","313","48","46","23","8","Sheepshead Bay Rd and W 6 St","GoLocker-Trump Village","54","S","608 Sheepshead Bay Rd, Brooklyn NY 11224","Outdoor","GoLocker","40.57860355","-73.97490183","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-74.00203418999996 40.60009903000008)","3","Brooklyn","311","47","47","17","11","Cropsey Ave and Bay 25 St","GoLocker-Auto Forward Motor","28","S","2021 Cropsey Ave, Brooklyn NY 11214","Outdoor","GoLocker","40.60009903","-74.00203419","Bath Beach","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.96083494999993 40.65847651000007)","3","Brooklyn","309","40","43","20","9","Flatbush Ave and Chester Ct","GoLocker-Chester Pharmacy","23","S","614 Flatbush Ave, Brooklyn 11225","Outdoor","GoLocker","40.65847651","-73.96083495","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91777999999994 40.71121000000005)","4","Queens","405","34","37","12","7","Troutman St and Woodward Av","Sherman Parking","6","M","1870 Troutman Street,Ridgewood,NY 11385","Indoor","GoLocker","40.71121","-73.91778","Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98083796999998 40.728865330000076)","1","Manhattan","103","2","74","27","10","E 12th St and Avenue A","GoLocker 508","30","S","508  East 12th St, Newyork, NY 10009","Indoor","GoLocker","40.72886533","-73.98083797","East Village","X","AREA OF MINIMAL FLOOD HAZARD","2","Active"
"POINT (-73.99882532999999 40.64562710000007)","3","Brooklyn","312","38","51","17","10","8 Ave and 42 St","Lucky Grocery","17","S","4123 8th Ave, Brooklyn NY 11232","Outdoor","GoLocker","40.6456271","-73.99882533","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01012278999997 40.68007048000004)","3","Brooklyn","306","38","51","26","10","Verona St and Van Brunt St","GoLocker-103 Verona St","8","S","103 Verona St, Brooklyn NY 11231","Outdoor","GoLocker","40.68007048","-74.01012279","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","AE",,"1","Active"
"POINT (-73.92412426999994 40.770662730000026)","4","Queens","401","22","36","59","14","Newtown Av and Crescent St","GoLocker- Newtown","32","S","2330 Newtown Ave, Long Island City, NY 11102","Outdoor","GoLocker","40.77066273","-73.92412427","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.97190856999998 40.58029175000007)","3","Brooklyn","313","47","46","23","8","W 5 St and Neptune Ave","GoLocker- 2882 W 5th Street","23","S","2882 W 5th St, Brooklyn, NY 11224","Outdoor","GoLocker","40.58029175","-73.97190857","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.93933828999997 40.69122557000003)","3","Brooklyn","303","36","56","25","8","Lafayette Av and Marcus Garvey Blvd","Ideal Food Basket- Lafayette Ave","12","S","830 Lafayette Ave, Brooklyn, NY 11221","Outdoor","GoLocker","40.69122557","-73.93933829","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","35","M","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97490182999996 40.578603550000025)","3","Brooklyn","313","48","46","23","8","Sheepshead Bay Rd and W 6 St","GoLocker-Trump Village","33","S","608 Sheepshead Bay Rd, Brooklyn NY 11224","Outdoor","GoLocker","40.57860355","-73.97490183","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.96408549999995 40.59841620000003)","3","Brooklyn","315","48","45","22","8","Coney Island Ave and Avenue U","GoLocker-Quick Shoppy","19","S","2404 Coney Island Ave, Brooklyn NY 11223","Outdoor","GoLocker","40.5984162","-73.9640855","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","3","Active"
"POINT (-73.95393796999997 40.71039021000007)","3","Brooklyn","301","34","53","18","7","E 17 St and Church Ave","GoLocker-Downtown Natural Market","14","S","1701 Church Ave, Brooklyn NY 11226","Outdoor","GoLocker","40.71039021","-73.95393797","Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.92314804999995 40.701279670000076)","3","Brooklyn","304","37","53","18","7","Knickerbocker Ave and Hart St","GoLocker-Laundry Station","21","S","334 Knickerbocker Ave, Brooklyn NY 11237","Indoor","GoLocker","40.70127967","-73.92314805","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.99340389999998 40.61821980000008)","3","Brooklyn","311","43","49","17","11","18 ave and 66 St","GoLocker- SmokeStax","31","S","6607 18th Avenue, Brooklyn, NY 11204","Indoor","GoLocker","40.6182198","-73.9934039","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96927363999998 40.677445360000036)","3","Brooklyn","308","35","52","20","10","Vanderbilt Av and Prospect Pl","GoLocker- Foodtown Prospect Heights","30","S","632 Vanderbilt Ave, Brooklyn, NY 11238","Outdoor","GoLocker","40.67744536","-73.96927364","Prospect Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.03019782999996 40.62514951000003)","3","Brooklyn","310","47","46","26","11","3 Ave and 84 St","GoLocker- iFix- Bay Ridge","20","S","8319 3rd Ave,Brooklyn, NY 11209","Indoor","GoLocker","40.62514951","-74.03019783","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94831486999993 40.66270825000004)","3","Brooklyn","309","40","43","20","9","Lefferts Ave and New York Ave","GoLocker-Lefferts Ave","25","M","393 Lefferts Ave, Brooklyn NY 11225","Outdoor","GoLocker","40.66270825","-73.94831487","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.01125527999994 40.63760442000006)","3","Brooklyn","307","43","49","17","10","59 St and 7 Ave","GoLocker-You Fresh Mart","10","S","5822 7th Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.63760442","-74.01125528","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92028383999997 40.704783200000065)","3","Brooklyn","304","34","53","18","7","Wyckoff Av and Hart St","KeyFood- Bushwick","31","S","7280 Wyckoff Ave, Brooklyn, NY 11237","Outdoor","GoLocker","40.7047832","-73.92028384","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92052076999994 40.74186858000007)","4","Queens","402","26","37","12","7","Greenpoint Av and 47th Av","GoLocker - Green Valley Sunnyside","4","M","44-01 Greenpoint Ave, Long Island City, NY 11104","Outdoor","GoLocker","40.74186858","-73.92052077","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00808176999993 40.64352783000004)","3","Brooklyn","307","43","49","17","10","6th Ave and 51st St","GoLocker- City Fresh Market","32","S","5009 6th Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.64352783","-74.00808177","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","19","S","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91255056999995 40.76318052000005)","4","Queens","401","22","34","12","14","30th Av and 43rd St","GoLocker- KeyFood Woodside","11","M","42-15 30th Ave., Astoria, NY 11103","Outdoor","GoLocker","40.76318052","-73.91255057","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98397936999999 40.725865750000025)","1","Manhattan","103","2","74","27","10","Avenue A and E 6 St","Gentle Wash","17","S","97 Ave A, New York, NY 10009","Indoor","GoLocker","40.72586575","-73.98397937","East Village","X","AREA OF MINIMAL FLOOD HAZARD","4","Active"
"POINT (-73.94052126999998 40.71759430000003)","3","Brooklyn","301","34","53","18","7","Kingsland Ave and Withers Ave","GoLocker-Fantasy Deli Grocery","19","S","49 Kingsland Ave, Brooklyn NY 11211","Outdoor","GoLocker","40.7175943","-73.94052127","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97490182999996 40.578603550000025)","3","Brooklyn","313","48","46","23","8","Sheepshead Bay Rd and W 6 St","GoLocker-Trump Village","17","S","608 Sheepshead Bay Rd, Brooklyn NY 11224","Outdoor","GoLocker","40.57860355","-73.97490183","Coney Island-Sea Gate","AE",,"1","Active"
