"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Name","Locker_Name","Locker Box Door","Locker Size","Address","Location","PopupInfo","Latitude","Longitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac","Status"
"POINT (-73.94831486999993 40.66270825000004)","3","Brooklyn","309","40","43","20","9","Lefferts Ave and New York Ave","GoLocker-Lefferts Ave","1","M","393 Lefferts Ave, Brooklyn NY 11225","Outdoor","GoLocker","40.66270825","-73.94831487","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","62","S","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.94671799999998 40.62668006000007)","3","Brooklyn","318","45","42","21","9","Avenue J and Nostrand Ave","GoLocker-New Stanleys Grocery","22","S","2377 Nostrand Ave, Brooklyn NY 11210","Outdoor","GoLocker","40.62668006","-73.946718","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.96926879999995 40.580711360000066)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Ocean Pkwy","GoLocker-425 Neptune Ave","22","S","425 Neptune Ave, Brooklyn, NY 11224","Outdoor","GoLocker","40.58071136","-73.9692688","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.91711681999993 40.769683360000045)","4","Queens","401","22","36","59","14","Astoria Blvd and 33 St","GoLocker-Astoria Beer and Market","26","S","32-14 Astoria Blvd, Astoria NY 11102","Outdoor","GoLocker","40.76968336","-73.91711682","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98083796999998 40.728865330000076)","1","Manhattan","103","2","74","27","10","E 12th St and Avenue A","GoLocker 508","17","S","508  East 12th St, Newyork, NY 10009","Indoor","GoLocker","40.72886533","-73.98083797","East Village","X","AREA OF MINIMAL FLOOD HAZARD","2","Active"
"POINT (-73.92177219999996 40.68985630000003)","3","Brooklyn","304","37","54","18","7","Bushwick Ave and Woodbine St","GoLocker-Bushwick Organic Deli 2","16","M","1104 Bushwick Ave, Brooklyn NY 11221","Outdoor","GoLocker","40.6898563","-73.9217722","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96408549999995 40.59841620000003)","3","Brooklyn","315","48","45","22","8","Coney Island Ave and Avenue U","GoLocker-Quick Shoppy","27","S","2404 Coney Island Ave, Brooklyn NY 11223","Outdoor","GoLocker","40.5984162","-73.9640855","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","3","Active"
"POINT (-73.98421959999996 40.61169932000007)","3","Brooklyn","311","43","47","17","11","Bay Pkwy and Bay Ridge Ave","GoLocker- Repairs Bay","30","S","6908 Bay Pkwy, Brooklyn, NY 11204","Indoor","GoLocker","40.61169932","-73.9842196","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-74.00203418999996 40.60009903000008)","3","Brooklyn","311","47","47","17","11","Cropsey Ave and Bay 25 St","GoLocker-Auto Forward Motor","17","S","2021 Cropsey Ave, Brooklyn NY 11214","Outdoor","GoLocker","40.60009903","-74.00203419","Bath Beach","X","AREA OF MINIMAL FLOOD HAZARD","5","Active"
"POINT (-73.88959806999998 40.74910896000006)","4","Queens","403","25","39","13","6","37th Av and 77th St","GoLocker- Foodtown Jackson Heights","44","L","76-10 37th Ave, Jackson Heights, NY 11372","Outdoor","GoLocker","40.74910896","-73.88959807","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96987256999995 40.643639800000074)","3","Brooklyn","314","39","44","21","9","Coney Island Ave and Beverly Rd","GoLocker-Deli and Grill Corner Town","4","S","563 Coney Island Ave, Brooklyn NY 11218","Outdoor","GoLocker","40.6436398","-73.96987257","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.97490182999996 40.578603550000025)","3","Brooklyn","313","48","46","23","8","Sheepshead Bay Rd and W 6 St","GoLocker-Trump Village","39","S","608 Sheepshead Bay Rd, Brooklyn NY 11224","Outdoor","GoLocker","40.57860355","-73.97490183","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.96377946999996 40.63576648000003)","3","Brooklyn","314","40","42","21","9","Newkirk Av and Rugby Rd","GoLocker- Clean n Green","2","S","1417 Newkirk Ave,Brooklyn, NY 11226","Indoor","GoLocker","40.63576648","-73.96377947","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96484999999996 40.58176490000005)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Brighton 7 St","GoLocker-Eastern Grocery","35","L","231 Neptune Ave,Brooklyn NY 11235","Outdoor","GoLocker","40.5817649","-73.96485","Brighton Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","Active"
"POINT (-73.99953132999997 40.61348774000004)","3","Brooklyn","311","43","49","17","11","17 Ave and 77 St","GoLocker-The Time Deli","27","S","7701 17 Ave, Brooklyn NY 11214","Outdoor","GoLocker","40.61348774","-73.99953133","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6","Active"
"POINT (-73.94831486999993 40.66270825000004)","3","Brooklyn","309","40","43","20","9","Lefferts Ave and New York Ave","GoLocker-Lefferts Ave","13","S","393 Lefferts Ave, Brooklyn NY 11225","Outdoor","GoLocker","40.66270825","-73.94831487","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95792197999998 40.676043950000064)","3","Brooklyn","308","35","57","25","9","St Marks Av and Classon Av","GoLocker- St. Marks","18","S","500 St Marks Ave, Brooklyn, NY 11238","Outdoor","GoLocker","40.67604395","-73.95792198","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00179120999996 40.64257003000006)","3","Brooklyn","312","38","49","17","10","8 Ave and 47 St","GoLocker-BSK Grocery","32","S","4701 8 Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.64257003","-74.00179121","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96484999999996 40.58176490000005)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Brighton 7 St","GoLocker-Eastern Grocery","21","M","231 Neptune Ave,Brooklyn NY 11235","Outdoor","GoLocker","40.5817649","-73.96485","Brighton Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","Active"
"POINT (-73.91711681999993 40.769683360000045)","4","Queens","401","22","36","59","14","Astoria Blvd and 33 St","GoLocker-Astoria Beer and Market","7","M","32-14 Astoria Blvd, Astoria NY 11102","Outdoor","GoLocker","40.76968336","-73.91711682","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98847969999997 40.616736900000035)","3","Brooklyn","311","43","49","17","11","20 Ave and 65 St","GoLocker-Hot Bagel","19","S","6424 20th Ave, Brooklyn NY 11204","Outdoor","GoLocker","40.6167369","-73.9884797","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98083796999998 40.728865330000076)","1","Manhattan","103","2","74","27","10","E 12th St and Avenue A","GoLocker 508","50","S","508  East 12th St, Newyork, NY 10009","Indoor","GoLocker","40.72886533","-73.98083797","East Village","X","AREA OF MINIMAL FLOOD HAZARD","2","Active"
"POINT (-73.93933828999997 40.69122557000003)","3","Brooklyn","303","36","56","25","8","Lafayette Av and Marcus Garvey Blvd","Ideal Food Basket- Lafayette Ave","1","M","830 Lafayette Ave, Brooklyn, NY 11221","Outdoor","GoLocker","40.69122557","-73.93933829","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.99340389999998 40.61821980000008)","3","Brooklyn","311","43","49","17","11","18 ave and 66 St","GoLocker- SmokeStax","18","S","6607 18th Avenue, Brooklyn, NY 11204","Indoor","GoLocker","40.6182198","-73.9934039","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.99882532999999 40.64562710000007)","3","Brooklyn","312","38","51","17","10","8 Ave and 42 St","Lucky Grocery","13","S","4123 8th Ave, Brooklyn NY 11232","Outdoor","GoLocker","40.6456271","-73.99882533","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.88959806999998 40.74910896000006)","4","Queens","403","25","39","13","6","37th Av and 77th St","GoLocker- Foodtown Jackson Heights","41","S","76-10 37th Ave, Jackson Heights, NY 11372","Outdoor","GoLocker","40.74910896","-73.88959807","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95792197999998 40.676043950000064)","3","Brooklyn","308","35","57","25","9","St Marks Av and Classon Av","GoLocker- St. Marks","63","S","500 St Marks Ave, Brooklyn, NY 11238","Outdoor","GoLocker","40.67604395","-73.95792198","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92028383999997 40.704783200000065)","3","Brooklyn","304","34","53","18","7","Wyckoff Av and Hart St","KeyFood- Bushwick","4","M","7280 Wyckoff Ave, Brooklyn, NY 11237","Outdoor","GoLocker","40.7047832","-73.92028384","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
